"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","numqs","win","lose","save","strikeout","numofmatches","innings","strikeoutrate","numofpitches","numofbatters","hitsallowed","homerunallowed","basesonballs","hitbypitch","intentionalwalk","runsallowed","earnedruns","completegames","shutouts","nowalk","opponentsbattingaverage","qsrate","supportpoint","runsupport","whip","maxspeed","minspeed","ballspeeddifference"
"839","900121","playerP","バンデンハーク","ソフトバンク","2016","0.250","0.259","0.286","0.270","0.296","0.308","0.143","0.250","0.160","---","0.000","0.000","0.000","0.333","0.000","0.000","0.500","0.333","0.000","0.000","0.000","0.250","0.000","0.000","0.000","8","7","3","0","92","13","82","10.10","1300","325","64","14","15","1","0","37","35","0","0","0",".213","61.54%","69","6.98","0.96","153","89","64"
"840","900121","playerP","バンデンハーク","ソフトバンク","2017","0.294","0.277","0.182","0.219","0.463","0.167","0.191","0.395","0.250","---","0.357","0.000","0.111","0.333","0.000","0.000","0.000","0.000","0.400","0.333","0.071","0.077","0.158","0.091","0.000","17","13","7","0","162","25","153","9.53","2598","623","127","18","47","2","0","57","55","0","0","0",".229","68.00%","75","4.04","1.14","156","103","53"
"841","900121","playerP","バンデンハーク","ソフトバンク","2018","0.175","0.167","0.267","0.244","0.360","0.263","0.159","0.393","0.125","0.000","0.375","0.412","0.056","0.667","0.000","0.250","---","0.143","0.000","0.000","0.000","0.000","0.100","0.250","0.000","14","10","7","0","127","23","138","8.28","2465","585","113","21","61","10","2","68","66","0","0","0",".224","60.87%","85","5.20","1.26","157","110","47"
"842","900121","playerP","バンデンハーク","ソフトバンク","2019","0.000","0.000","0.375","0.333","0.500","0.400","0.000","0.000","0.000","0.000","---","0.000","1.000","---","---","---","---","---","---","---","---","0.000","0.000","0.000","---","2","2","0","0","22","3","17+1/3","11.42","294","66","13","2","2","0","0","7","6","0","0","0",".206","66.67%","9","4.50","0.87","155","114","41"
"843","900121","playerP","バンデンハーク","ソフトバンク","2020","0.000","0.308","0.133","0.222","0.833","0.500","0.600","0.429","0.250","---","0.250","0.000","0.500","1.000","---","0.000","---","---","---","---","0.000","0.000","0.000","0.000","---","1","2","2","0","20","5","26","6.92","418","113","28","6","10","0","0","21","20","0","0","0",".286","20.00%","15","4.82","1.46","154","112","42"
"844","900121","playerP","バンデンハーク","ソフトバンク","2022","0.000","0.308","0.133","0.222","0.833","0.500","0.600","0.429","0.250","---","0.250","0.000","0.500","1.000","---","0.000","---","---","---","---","0.000","0.000","0.000","0.000","---","1","2","2","0","20","5","26","6.92","418","113","28","6","10","0","0","21","20","0","0","0",".286","20.00%","15","4.82","1.46","154","112","42"
"845","2000025","playerP","山野 太一","ヤクルト","2021","0.000","1.000","---","0.500","1.000","1.000","---","0.500","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","---","0","0","0","0","3","1","1+1/3","20.25","49","12","5","0","2","1","0","7","7","0","0","0",".556","0.00%","5","22.50","5.25","150","110","40"
"846","2000025","playerP","山野 太一","ヤクルト","2023","0.250","0.571","0.750","0.250","0.444","0.286","0.333","0.000","0.300","---","---","0.000","---","---","0.000","---","---","---","0.000","0.000","0.000","0.000","0.333","0.000","0.000","2","1","3","0","15","5","26","5.19","402","112","25","2","11","1","2","13","12","0","0","0",".266","40.00%","7","2.10","1.38","146","106","40"
"847","1700094","playerP","山本 大貴","ロッテ","2018","0.000","1.000","0.500","0.000","0.000","---","---","0.750","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","0.000","0","0","1","0","1","1","3","3.00","71","17","5","0","4","0","0","4","2","0","0","0",".385","0.00%","1","2.25","3.00","144","114","30"
"848","1700094","playerP","山本 大貴","ロッテ","2020","0.143","0.200","0.250","0.000","0.500","0.200","0.000","1.000","0.333","---","0.000","0.000","0.000","---","0.000","---","---","---","---","0.000","---","---","0.000","0.000","0.000","0","0","0","0","7","12","13+2/3","4.61","218","54","11","1","6","0","0","4","4","0","0","0",".244","0.00%","0","0.00","1.24","148","115","33"
