"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","numqs","win","lose","save","strikeout","numofmatches","innings","strikeoutrate","numofpitches","numofbatters","hitsallowed","homerunallowed","basesonballs","hitbypitch","intentionalwalk","runsallowed","earnedruns","completegames","shutouts","nowalk","opponentsbattingaverage","qsrate","supportpoint","runsupport","whip","maxspeed","minspeed","ballspeeddifference"
"1","500032","playerP","野間口 貴彦","巨人","2012","---","---","---","0.000","1.000","0.000","1.000","0.000","0.000","---","---","---","---","---","---","---","---","---","---","---","---","0.000","0.000","0.000","---","0","0","0","0","2","3","3","6.00","44","11","2","0","1","0","0","0","0","0","0","0",".200","0.00%","0","0.00","1.00","143","115","28"
"2","900104","playerP","ロメロ","ソフトバンク","2012","0.000","1.000","0.000","---","1.000","0.500","0.333","0.500","0.000","---","---","---","---","---","---","---","---","0.000","---","---","---","0.000","---","---","---","0","0","0","0","3","4","3+2/3","7.36","75","18","5","1","1","0","0","5","3","0","0","0",".333","0.00%","0","0.00","1.64","148","117","31"
"3","1100040","playerP","高木 京介","巨人","2012","0.286","0.083","0.222","0.333","0.286","0.053","0.250","0.250","0.100","---","0.000","---","0.000","---","---","---","---","0.000","0.000","---","---","---","0.000","0.200","0.000","0","2","0","1","28","34","31+1/3","8.04","472","121","16","0","10","1","0","2","2","0","0","0",".150","0.00%","0","0.00","0.83","149","97","52"
"4","1100040","playerP","高木 京介","巨人","2013","0.267","0.429","0.333","0.067","0.294","0.269","0.286","0.083","0.188","0.000","0.000","0.000","0.000","---","1.000","---","0.000","---","0.000","---","---","0.000","0.200","0.000","0.000","0","3","0","0","40","46","47+2/3","7.55","854","209","37","8","27","3","0","27","23","0","0","0",".215","0.00%","0","0.00","1.34","148","97","51"
"5","1100040","playerP","高木 京介","巨人","2014","0.429","0.222","0.000","0.250","0.375","0.333","0.500","0.167","0.308","0.000","0.500","0.000","0.500","---","0.000","---","0.000","---","0.000","---","0.000","0.000","0.500","0.000","0.000","0","0","0","0","26","26","28+1/3","8.26","510","116","24","4","9","1","1","15","15","0","0","0",".238","0.00%","0","0.00","1.16","148","101","47"
"6","1100040","playerP","高木 京介","巨人","2015","0.286","0.286","0.133","0.250","0.313","0.727","0.222","0.182","0.000","0.000","0.000","0.000","0.000","0.000","1.000","---","---","0.000","0.000","0.000","0.000","0.200","0.000","0.000","0.000","0","1","0","0","43","33","41","9.44","694","167","31","4","13","0","0","10","10","0","0","0",".207","0.00%","0","0.00","1.07","146","88","58"
"7","1100040","playerP","高木 京介","巨人","2018","0.000","0.667","1.000","0.000","0.500","0.500","0.000","1.000","---","---","---","---","---","---","---","---","---","---","---","0.000","---","---","---","---","---","0","0","0","0","1","3","5","1.80","91","28","8","0","4","0","0","7","7","0","0","0",".421","0.00%","0","0.00","2.40","142","94","48"
"8","1100040","playerP","高木 京介","巨人","2019","0.200","0.316","0.308","0.188","0.333","0.267","0.417","0.167","0.240","---","0.500","0.143","---","---","1.000","---","---","---","0.000","---","---","0.000","0.286","0.167","0.000","0","3","1","0","48","55","54","8.00","819","220","51","11","13","0","2","23","23","0","0","0",".254","0.00%","0","0.00","1.19","153","91","62"
"9","1100040","playerP","高木 京介","巨人","2020","0.000","1.000","0.000","---","1.000","0.167","0.333","0.200","0.333","---","---","---","0.000","---","0.000","---","---","0.000","0.000","---","---","0.000","0.000","1.000","---","0","0","1","1","12","17","12+1/3","8.76","192","49","11","1","2","0","0","5","5","0","0","0",".234","0.00%","0","0.00","1.05","150","101","49"
"10","1100040","playerP","高木 京介","巨人","2021","0.667","0.286","0.000","0.375","0.429","0.200","0.286","0.100","0.250","---","0.000","0.500","0.000","---","0.500","---","1.000","---","---","1.000","---","0.667","0.250","0.000","0.000","0","1","0","0","15","15","18+1/3","7.36","317","81","22","1","7","0","0","9","9","0","0","0",".310","0.00%","0","0.00","1.58","148","99","49"
"11","1100040","playerP","高木 京介","巨人","2022","0.667","0.375","0.000","0.444","0.167","0.000","0.000","0.333","0.500","---","0.000","0.250","---","---","---","---","0.667","---","---","0.000","---","0.200","0.667","0.000","0.000","0","0","1","0","13","17","19+1/3","6.05","318","86","19","1","8","0","0","9","6","0","0","0",".271","0.00%","0","0.00","1.40","148","100","48"
"12","1100040","playerP","高木 京介","巨人","2023","---","---","0.000","0.000","---","1.000","---","---","---","---","---","---","---","---","---","---","0.000","---","---","---","0.000","---","0.000","---","---","0","0","0","0","1","1","2","4.50","22","8","1","0","0","1","0","0","0","0","0","0",".167","0.00%","0","0.00","0.50","146","103","43"
"13","600098","playerP","山口 鉄也","巨人","2012","0.357","0.375","0.333","0.257","0.313","0.160","0.175","0.154","0.156","---","---","---","0.000","---","0.000","0.000","0.000","---","0.143","0.000","0.000","0.000","0.000","0.000","0.000","0","3","2","5","68","72","75+1/3","8.12","1075","277","47","1","7","3","2","7","7","0","0","0",".179","0.00%","0","0.00","0.72","151","115","36"
"14","600098","playerP","山口 鉄也","巨人","2013","0.400","0.333","0.167","0.034","0.333","0.091","0.286","0.375","0.222","---","0.000","0.000","1.000","---","0.000","0.000","0.500","0.000","0.000","0.000","0.000","0.111","0.083","0.143","0.000","0","4","3","6","55","64","66+2/3","7.43","1017","262","47","1","17","2","2","12","9","0","0","0",".198","0.00%","0","0.00","0.96","150","116","34"
"15","600098","playerP","山口 鉄也","巨人","2014","0.143","0.214","0.333","0.167","0.318","0.241","0.375","0.606","0.227","---","0.000","0.000","0.000","---","---","---","0.500","---","0.000","0.000","0.333","0.125","0.333","0.000","0.000","0","4","3","2","42","60","56+1/3","6.71","923","246","61","1","20","6","3","19","19","0","0","0",".290","0.00%","0","0.00","1.44","152","112","40"
"16","600098","playerP","山口 鉄也","巨人","2015","0.250","0.583","0.300","0.333","0.250","0.167","0.233","0.300","0.333","---","0.000","---","---","---","0.000","---","0.143","0.000","0.500","0.000","0.000","0.300","0.000","0.250","0.000","0","4","5","2","31","60","52+2/3","5.30","824","216","48","5","15","2","0","18","16","0","0","0",".254","0.00%","0","0.00","1.20","147","111","36"
"17","600098","playerP","山口 鉄也","巨人","2016","0.500","0.214","0.000","0.542","0.389","0.304","0.176","0.222","0.118","---","---","0.000","---","---","0.000","---","0.000","1.000","0.000","0.000","0.000","0.333","0.000","0.143","---","0","1","6","1","28","63","48","5.25","761","204","48","6","12","2","0","30","26","0","0","0",".261","0.00%","0","0.00","1.25","148","111","37"
"18","600098","playerP","山口 鉄也","巨人","2017","0.667","0.200","0.000","0.143","0.600","0.000","0.250","0.400","0.250","---","---","---","---","---","---","---","---","---","---","0.000","0.000","0.000","0.000","0.500","0.000","0","1","1","0","10","18","13+1/3","6.75","237","62","14","1","8","0","0","6","6","0","0","0",".259","0.00%","0","0.00","1.65","143","113","30"
"19","400011","playerP","西村 健太朗","巨人","2012","0.077","0.077","0.200","0.111","0.300","0.216","0.182","0.111","0.261","---","0.333","0.250","0.000","1.000","0.000","0.000","---","---","0.000","0.000","0.333","0.100","0.056","0.091","0.000","0","3","2","32","58","69","71+1/3","7.32","1097","276","41","3","22","2","5","15","9","0","0","0",".168","0.00%","0","0.00","0.88","153","111","42"
"20","400011","playerP","西村 健太朗","巨人","2013","0.111","0.176","0.222","0.214","0.313","0.077","0.133","0.375","0.241","0.000","0.000","0.333","0.000","---","0.000","0.000","0.000","0.000","0.500","0.000","0.000","0.059","0.115","0.267","0.000","0","4","3","42","71","71","71+2/3","8.92","1200","289","47","1","31","4","1","10","9","0","0","0",".187","0.00%","0","0.00","1.09","152","123","29"
"21","400011","playerP","西村 健太朗","巨人","2014","0.125","0.308","0.400","0.389","0.500","0.520","0.368","0.200","0.250","---","0.000","1.000","0.000","---","---","---","0.000","---","0.000","0.000","0.000","0.000","0.235","0.000","---","0","4","4","6","39","49","51+1/3","6.84","875","229","59","2","22","1","1","21","17","0","0","0",".294","0.00%","0","0.00","1.58","153","116","37"
"22","400011","playerP","西村 健太朗","巨人","2015","0.000","---","0.000","---","---","---","0.500","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0","0","0","0","0","1","1","0.00","14","4","1","1","0","0","0","1","1","0","0","0",".250","0.00%","0","0.00","1.00","143","118","25"
"23","400011","playerP","西村 健太朗","巨人","2016","0.200","0.222","0.333","0.625","0.250","0.375","0.091","0.500","0.500","---","---","0.000","---","0.000","---","0.000","0.000","0.000","---","0.000","0.000","0.000","0.167","0.500","---","0","0","0","0","25","27","28","8.04","546","134","30","2","16","5","0","11","10","0","0","0",".273","0.00%","0","0.00","1.64","151","120","31"
"24","400011","playerP","西村 健太朗","巨人","2017","0.250","0.235","0.400","0.200","0.200","0.333","0.000","0.316","0.444","---","0.000","---","---","0.000","0.000","0.000","0.000","0.000","0.000","0.000","---","0.000","0.182","0.250","0.000","0","0","2","0","34","45","48","6.38","776","196","44","5","14","2","1","19","19","0","0","0",".254","0.00%","0","0.00","1.21","150","116","34"
"25","11886","playerP","高木 康成","巨人","2012","0.182","0.333","0.182","0.333","0.154","0.154","0.300","0.467","0.133","---","0.000","0.000","0.000","---","0.000","0.000","---","---","0.000","---","---","0.000","0.000","0.250","0.333","0","3","1","0","25","40","43+2/3","5.15","636","169","34","0","8","0","1","9","7","0","0","0",".217","0.00%","0","0.00","0.96","147","109","38"
"26","11886","playerP","高木 康成","巨人","2013","0.000","1.000","1.000","---","---","0.000","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","---","0","0","0","0","1","1","2","4.50","22","7","2","0","0","0","0","0","0","0","0","0",".286","0.00%","0","0.00","1.00","144","120","24"
"27","600049","playerP","福田 聡志","巨人","2012","0.000","0.100","0.000","0.192","0.444","0.294","0.156","0.231","0.167","---","0.333","0.000","---","0.000","0.000","---","0.000","0.000","0.000","---","0.000","0.067","0.200","0.000","---","0","8","1","0","51","50","61+2/3","7.44","970","236","32","2","26","0","0","11","11","0","0","0",".155","0.00%","0","0.00","0.94","152","109","43"
"28","600049","playerP","福田 聡志","巨人","2013","0.000","0.500","0.400","0.167","0.286","0.833","0.000","0.545","0.000","---","0.000","0.250","---","---","---","---","---","---","---","0.000","---","0.333","0.250","---","---","0","1","1","0","14","17","18","7.00","328","89","25","3","10","1","1","12","10","0","0","0",".333","0.00%","0","0.00","1.94","149","112","37"
"29","600049","playerP","福田 聡志","巨人","2014","0.143","0.000","0.375","0.222","0.556","0.500","0.375","0.667","---","---","---","1.000","0.000","---","---","---","---","---","---","1.000","0.000","---","---","---","---","0","0","1","0","6","12","14","3.86","274","71","23","2","6","1","0","16","15","0","0","0",".371","0.00%","0","0.00","2.07","146","114","32"
"30","1200005","playerP","マシソン","巨人","2012","0.133","0.357","0.250","0.150","0.500","0.333","0.100","0.100","0.000","1.000","0.083","0.200","0.125","---","---","0.000","0.000","---","0.000","---","0.000","0.222","0.250","0.000","---","0","2","0","10","48","40","42","10.29","704","165","30","1","11","1","0","9","8","0","0","0",".200","0.00%","0","0.00","0.98","159","101","58"
"31","1200005","playerP","マシソン","巨人","2013","0.214","0.231","0.313","0.211","0.143","0.313","0.067","0.167","0.111","---","0.200","0.000","0.125","0.000","0.000","0.500","0.250","0.000","0.000","---","0.000","0.000","0.000","1.000","---","0","2","2","0","77","63","61","11.36","1009","235","36","2","18","2","0","8","7","0","0","0",".169","0.00%","0","0.00","0.89","160","118","42"
"32","1200005","playerP","マシソン","巨人","2014","0.421","0.379","0.200","0.108","0.304","0.333","0.182","0.167","0.333","0.000","0.111","0.222","0.200","---","---","---","0.200","---","0.000","---","0.000","0.286","0.000","0.000","---","0","6","6","30","75","64","65+1/3","10.33","1091","277","59","8","23","1","0","27","26","0","0","0",".238","0.00%","0","0.00","1.26","160","112","48"
"33","1200005","playerP","マシソン","巨人","2015","0.135","0.333","0.375","0.355","0.333","0.176","0.143","0.167","0.000","0.000","0.500","0.000","0.333","---","0.000","0.000","0.000","---","0.000","---","0.000","0.200","0.250","0.333","---","0","3","8","2","55","63","58+1/3","8.49","908","244","47","5","21","2","0","22","17","0","0","0",".221","0.00%","0","0.00","1.17","159","111","48"
"34","1200005","playerP","マシソン","巨人","2016","0.182","0.214","0.333","0.240","0.269","0.346","0.158","0.333","0.143","0.000","0.200","0.083","0.000","---","0.000","1.000","0.200","0.500","0.000","---","0.000","0.125","0.333","0.333","0.333","0","8","4","1","98","70","80","11.03","1318","325","65","7","22","1","0","27","21","0","0","0",".220","0.00%","0","0.00","1.09","162","122","40"
"35","1200005","playerP","マシソン","巨人","2017","0.375","0.467","0.294","0.130","0.333","0.200","0.240","0.143","0.105","---","0.182","0.333","0.143","0.000","0.000","0.000","0.000","0.000","0.000","---","0.000","0.125","0.000","0.200","0.500","0","4","4","2","79","59","68+1/3","10.40","1081","270","52","6","18","1","0","18","17","0","0","0",".211","0.00%","0","0.00","1.02","158","114","44"
"36","1200005","playerP","マシソン","巨人","2018","0.133","0.235","0.286","0.250","0.500","0.286","0.000","0.071","0.600","---","0.000","0.000","0.000","---","---","---","0.200","---","0.000","---","0.000","0.000","0.000","0.000","---","0","0","3","8","41","34","33+1/3","11.07","561","133","21","3","13","1","1","12","11","0","0","0",".176","0.00%","0","0.00","1.02","158","102","56"
"37","1200005","playerP","マシソン","巨人","2019","0.300","0.429","0.111","0.333","0.600","0.400","0.077","0.200","0.429","---","0.000","---","0.750","0.000","---","---","0.000","---","---","---","0.000","0.333","1.000","0.000","---","0","2","2","1","19","28","22+2/3","7.54","360","104","28","2","9","0","2","11","11","0","0","0",".304","0.00%","0","0.00","1.63","155","120","35"
"38","1000084","playerP","宮國 椋丞","巨人","2012","0.160","0.227","0.286","0.184","0.189","0.414","0.205","0.261","0.348","---","0.333","0.000","0.000","---","0.333","---","0.500","0.000","0.000","0.000","0.000","0.100","0.214","0.200","---","9","6","2","0","54","17","97","5.01","1413","386","76","4","28","3","1","27","20","1","1","0",".221","56.25%","53","4.68","1.07","149","85","64"
"39","1000084","playerP","宮國 椋丞","巨人","2013","0.263","0.452","0.192","0.222","0.386","0.300","0.394","0.588","0.188","---","0.167","0.444","0.000","0.000","0.000","0.333","0.500","0.000","0.500","---","0.167","0.200","0.182","0.000","---","8","6","7","0","50","17","87+2/3","5.13","1480","401","113","8","35","2","0","52","48","0","0","0",".325","47.06%","41","4.05","1.69","150","88","62"
"40","1000084","playerP","宮國 椋丞","巨人","2014","0.200","0.333","0.500","0.250","1.000","0.000","0.167","0.667","0.000","0.000","1.000","0.667","---","---","---","---","1.000","---","0.000","---","---","0.250","1.000","0.000","---","1","1","1","0","6","3","14","3.86","213","64","22","3","3","1","0","11","10","0","0","0",".379","33.33%","3","1.59","1.79","146","95","51"
"41","1000084","playerP","宮國 椋丞","巨人","2015","0.100","0.417","0.214","0.242","0.118","0.348","0.250","0.167","0.375","---","0.000","0.200","0.000","---","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.400","0.000","0","3","1","1","28","39","49","5.14","741","194","38","4","15","0","1","17","16","0","0","0",".217","0.00%","0","0.00","1.08","151","92","59"
"42","1000084","playerP","宮國 椋丞","巨人","2016","0.333","0.417","0.222","0.438","0.438","0.211","0.091","0.174","0.167","---","---","0.000","0.000","---","---","---","0.500","---","0.000","0.000","0.000","0.250","0.143","0.000","0.000","0","4","1","0","14","34","39+2/3","3.18","588","162","38","6","9","0","0","14","13","0","0","0",".255","0.00%","0","0.00","1.18","149","93","56"
"43","1000084","playerP","宮國 椋丞","巨人","2017","0.222","0.182","0.222","0.200","0.500","0.458","0.188","0.444","0.375","---","---","---","---","---","---","1.000","0.000","0.400","0.000","0.000","0.000","0.000","0.222","0.286","0.000","3","1","7","0","41","17","57","6.47","1008","246","64","5","18","0","0","32","30","0","0","0",".288","33.33%","16","3.13","1.44","152","88","64"
"44","1000084","playerP","宮國 椋丞","巨人","2018","0.286","0.250","0.111","0.091","0.357","0.250","0.182","0.200","0.400","---","---","0.000","---","---","0.000","---","---","---","---","0.000","0.000","0.000","0.375","0.500","0.000","0","0","0","0","25","29","32","7.03","537","133","27","4","10","3","0","8","7","0","0","0",".233","0.00%","0","0.00","1.16","148","81","67"
"45","1000084","playerP","宮國 椋丞","巨人","2019","0.000","0.200","0.400","0.222","0.538","0.286","0.077","0.231","0.385","0.000","---","0.000","---","---","---","0.000","1.000","---","0.000","---","0.000","0.000","0.000","0.000","---","0","0","2","0","21","28","29+2/3","6.37","470","122","26","2","9","1","0","16","13","0","0","0",".239","0.00%","0","0.00","1.18","148","100","48"
"46","1000084","playerP","宮國 椋丞","巨人","2020","0.500","0.500","0.571","0.273","0.667","0.200","0.083","0.100","0.444","---","---","---","0.000","0.000","0.000","0.000","0.000","---","0.000","---","0.000","0.100","0.000","---","---","0","0","0","0","22","21","25+1/3","7.82","417","109","27","5","8","0","0","15","15","0","0","0",".270","0.00%","0","0.00","1.38","149","101","48"
"47","1000084","playerP","宮國 椋丞","DeNA","2021","0.500","0.667","1.000","0.500","0.375","0.667","0.000","0.200","0.000","---","---","---","---","---","---","---","0.000","0.000","---","---","---","0.000","0.500","0.000","---","0","1","1","0","14","3","16","7.88","259","68","18","3","5","0","0","11","11","0","0","0",".295","0.00%","13","6.88","1.44","147","102","45"
"48","1000084","playerP","宮國 椋丞","DeNA","2022","0.429","0.400","0.000","0.600","0.333","0.538","0.500","0.800","0.667","---","---","0.000","---","---","---","0.000","0.000","0.000","0.000","0.000","---","0.000","0.143","0.500","---","0","0","0","0","13","17","20+2/3","5.66","418","103","35","6","5","1","0","20","20","0","0","0",".376","0.00%","0","0.00","1.94","147","106","41"
"49","1000084","playerP","宮國 椋丞","DeNA","2023","0.333","0.500","0.400","0.000","---","0.000","0.000","---","0.333","---","---","---","---","---","---","---","---","---","---","---","---","1.000","0.000","---","---","0","0","0","0","3","2","4","6.75","80","21","7","1","1","0","0","4","3","0","0","0",".350","0.00%","0","0.00","2.00","148","107","41"
"50","1000086","playerP","小山 雄輝","巨人","2012","0.250","0.444","0.364","0.000","0.294","0.267","0.150","0.143","0.182","---","0.000","0.500","0.333","0.000","0.000","0.000","0.000","0.000","0.000","---","0.000","0.000","0.167","0.250","0.000","3","2","2","0","28","10","43+1/3","5.82","589","168","29","1","11","0","0","11","9","0","0","0",".191","50.00%","10","2.50","0.92","150","100","50"
"51","1000086","playerP","小山 雄輝","巨人","2013","0.333","0.400","0.364","0.231","0.700","0.118","0.000","0.222","0.250","1.000","0.500","0.333","0.000","0.000","---","0.000","---","1.000","---","0.000","0.000","0.000","0.000","0.333","0.000","3","0","2","0","31","10","35","7.97","566","150","34","4","15","1","0","17","15","0","0","0",".262","60.00%","8","2.40","1.40","148","95","53"
"52","1000086","playerP","小山 雄輝","巨人","2014","0.524","0.389","0.219","0.188","0.250","0.267","0.158","0.214","0.360","0.000","0.000","0.286","0.000","---","1.000","0.000","0.000","0.200","0.400","0.500","1.000","0.133","0.042","0.056","0.000","8","6","2","0","71","16","93+1/3","6.85","1555","390","85","7","28","3","2","27","25","1","0","0",".246","50.00%","39","3.66","1.21","151","96","55"
"53","1000086","playerP","小山 雄輝","巨人","2015","0.250","0.250","0.400","0.727","0.500","0.375","0.000","0.000","0.500","---","---","0.000","---","---","---","0.000","---","0.000","---","---","---","0.000","0.000","0.000","0.000","0","0","1","1","10","7","15+2/3","5.74","258","68","18","2","7","0","0","7","7","0","0","0",".305","0.00%","4","5.14","1.60","148","102","46"
"54","1000086","playerP","小山 雄輝","巨人","2016","0.000","0.500","0.000","0.333","0.000","0.750","0.000","0.000","0.200","---","0.000","1.000","0.000","---","---","0.000","---","0.000","---","1.000","---","0.000","0.250","0.250","---","0","0","1","0","12","9","13","8.31","217","58","15","1","5","0","1","7","7","0","0","0",".294","0.00%","2","4.50","1.54","148","103","45"
"55","1000086","playerP","小山 雄輝","楽天","2017","0.000","0.000","0.500","0.000","0.500","0.500","0.333","1.000","1.000","---","0.000","---","0.000","---","---","---","---","---","---","0.000","---","---","0.000","1.000","---","0","0","0","0","4","5","5+2/3","6.35","119","32","11","0","5","1","0","8","7","0","0","0",".423","0.00%","0","0.00","2.82","150","106","44"
"56","400010","playerP","内海 哲也","巨人","2012","0.292","0.238","0.216","0.322","0.362","0.240","0.313","0.261","0.304","0.000","0.167","0.167","0.000","---","0.333","0.000","0.100","0.000","0.286","0.000","0.200","0.148","0.139","0.194","0.000","22","15","6","0","121","28","186","5.85","2799","757","173","8","40","9","1","47","41","3","2","0",".253","78.57%","86","3.95","1.15","146","83","63"
"57","400010","playerP","内海 哲也","巨人","2013","0.265","0.231","0.207","0.307","0.373","0.158","0.246","0.422","0.255","1.000","0.000","0.000","0.000","---","0.333","---","0.235","0.000","0.250","0.500","0.111","0.289","0.146","0.231","0.273","16","13","6","0","107","25","160+1/3","6.01","2646","675","157","11","47","6","1","68","59","1","0","0",".261","64.00%","75","4.09","1.27","145","87","58"
"58","400010","playerP","内海 哲也","巨人","2014","0.256","0.541","0.303","0.262","0.440","0.217","0.170","0.255","0.258","0.000","0.500","0.000","0.000","---","0.000","0.500","0.000","0.333","0.125","0.500","0.000","0.176","0.158","0.167","0.000","15","7","9","0","105","22","144+2/3","6.53","2336","603","139","11","36","5","1","51","51","2","2","2",".257","68.18%","57","3.40","1.21","146","84","62"
"59","400010","playerP","内海 哲也","巨人","2015","0.750","0.500","0.333","0.353","0.333","0.143","0.455","0.000","0.222","0.000","1.000","0.000","---","---","1.000","---","0.500","---","0.000","0.000","0.000","0.000","0.333","0.000","0.000","1","2","1","0","10","5","23+1/3","3.86","392","104","30","4","6","0","0","15","13","0","0","0",".316","20.00%","16","6.55","1.54","140","103","37"
"60","400010","playerP","内海 哲也","巨人","2016","0.208","0.409","0.429","0.275","0.395","0.283","0.268","0.306","0.265","0.000","0.000","0.000","0.000","---","0.000","0.000","0.000","0.000","0.182","---","0.167","0.105","0.088","0.292","0.000","11","9","6","0","81","18","107+1/3","6.79","1755","442","104","10","22","5","0","47","47","0","0","0",".254","61.11%","59","4.58","1.17","143","104","39"
"61","400010","playerP","内海 哲也","巨人","2017","0.385","0.167","0.200","0.381","0.333","0.450","0.278","0.333","0.263","---","0.500","0.000","0.000","---","0.000","0.000","0.400","0.000","0.250","---","0.000","0.100","0.063","0.500","0.333","4","2","7","0","34","12","57+2/3","5.31","968","258","66","10","18","3","0","37","37","0","0","0",".291","33.33%","26","3.66","1.46","145","109","36"
"62","400010","playerP","内海 哲也","巨人","2018","0.148","0.278","0.333","0.222","0.378","0.280","0.300","0.417","0.350","---","1.000","0.167","0.000","---","0.000","---","0.167","0.000","0.000","---","0.500","0.000","0.188","0.308","0.333","6","5","5","0","56","15","82","6.15","1365","358","95","11","19","3","2","38","38","1","1","0",".284","42.86%","28","3.00","1.39","146","106","40"
"63","400010","playerP","内海 哲也","西武","2020","0.200","0.625","0.167","0.667","0.250","0.077","0.200","0.333","0.000","---","---","0.000","---","---","0.000","0.000","---","---","---","---","0.000","0.000","0.250","0.000","0.000","1","1","2","0","12","4","19","5.68","299","83","18","3","6","1","0","12","9","0","0","0",".247","25.00%","12","5.14","1.26","141","110","31"
"64","400010","playerP","内海 哲也","西武","2021","0.333","1.000","0.500","0.500","0.500","0.000","0.250","0.400","0.333","---","0.000","0.000","---","---","---","---","---","---","---","---","---","0.000","---","0.000","---","0","1","0","0","3","2","7","3.86","142","36","11","2","5","0","0","6","6","0","0","0",".355","0.00%","5","5.63","2.29","142","113","29"
"65","400010","playerP","内海 哲也","西武","2022","0.000","0.333","0.000","0.500","0.333","0.000","0.333","0.000","0.250","---","---","---","---","---","---","---","---","---","---","---","---","0.000","0.000","0.000","0.000","0","0","1","0","8","5","12","6.00","200","50","12","2","2","0","0","4","4","0","0","0",".255","0.00%","2","1.80","1.17","140","113","27"
"66","12107","playerP","杉内 俊哉","巨人","2012","0.220","0.333","0.241","0.186","0.350","0.131","0.296","0.294","0.208","0.000","0.444","0.000","0.000","0.000","0.111","1.000","0.154","0.143","0.000","0.167","0.000","0.087","0.067","0.000","0.000","20","12","4","0","172","24","163","9.50","2491","634","116","6","43","3","0","42","37","3","2","1",".202","83.33%","64","3.39","0.98","144","95","49"
"67","12107","playerP","杉内 俊哉","巨人","2013","0.296","0.395","0.365","0.294","0.255","0.246","0.081","0.211","0.125","0.000","0.200","0.000","0.000","---","0.250","---","0.333","0.250","0.111","0.000","0.250","0.200","0.100","0.167","0.000","13","11","6","0","149","24","153","8.76","2535","619","122","19","49","7","1","60","57","2","1","0",".223","54.17%","71","3.97","1.12","145","111","34"
"68","12107","playerP","杉内 俊哉","巨人","2014","0.207","0.280","0.263","0.245","0.424","0.237","0.214","0.308","0.146","0.500","0.000","0.273","0.125","---","0.000","0.000","0.000","0.444","0.333","0.111","0.000","0.333","0.174","0.172","0.050","16","10","6","0","145","26","159+1/3","8.19","2664","654","144","18","41","5","0","59","56","1","1","0",".246","61.54%","95","5.09","1.16","144","106","38"
"69","12107","playerP","杉内 俊哉","巨人","2015","0.231","0.308","0.368","0.219","0.333","0.227","0.185","0.571","0.074","0.000","0.000","0.500","0.400","---","0.000","0.333","0.200","0.000","0.000","0.400","0.200","0.273","0.333","0.125","0.000","9","6","6","0","93","17","95+2/3","8.75","1602","401","88","9","35","3","0","42","42","0","0","0",".248","52.94%","36","3.18","1.29","143","105","38"
"70","800093","playerP","ホールトン","巨人","2012","0.208","0.302","0.275","0.174","0.386","0.257","0.133","0.267","0.238","0.500","0.172","0.130","0.167","0.500","0.000","0.000","0.000","0.500","0.000","0.000","0.000","0.133","0.143","0.059","0.000","18","12","8","0","132","25","158","7.52","2611","630","116","11","44","8","1","46","43","0","0","0",".206","72.00%","91","4.87","1.01","148","101","47"
"71","800093","playerP","ホールトン","巨人","2013","0.182","0.333","0.147","0.171","0.429","0.259","0.250","0.172","0.240","---","0.250","0.125","0.188","0.000","0.000","---","0.000","0.000","---","0.000","0.000","0.400","0.188","0.000","0.333","7","9","4","0","67","18","103+2/3","5.82","1713","426","85","14","32","5","1","45","43","1","0","1",".225","38.89%","70","5.73","1.13","144","107","37"
"72","1100042","playerP","江柄子 裕樹","巨人","2012","0.333","0.000","0.333","0.286","0.333","0.231","0.000","0.000","0.000","---","---","0.000","0.000","---","---","0.000","---","0.500","0.000","0.000","---","0.286","0.000","---","---","0","0","2","0","14","7","14+2/3","8.59","263","65","12","2","7","1","0","7","4","0","0","0",".218","0.00%","1","0.75","1.30","146","105","41"
"73","1100042","playerP","江柄子 裕樹","巨人","2013","---","0.500","0.000","0.000","0.000","1.000","---","0.500","0.500","---","---","1.000","---","0.000","---","---","---","---","---","---","---","0.500","0.000","---","---","0","1","0","0","2","4","4","4.50","76","19","7","0","0","0","0","2","2","0","0","0",".412","0.00%","0","0.00","1.75","145","105","40"
"74","1100042","playerP","江柄子 裕樹","巨人","2014","0.286","0.545","0.500","0.087","0.267","0.300","0.364","0.000","0.143","---","0.000","---","---","---","---","0.000","---","0.000","1.000","---","1.000","0.333","0.000","0.500","0.000","0","0","2","0","15","19","29","4.66","450","119","28","1","9","1","0","9","9","0","0","0",".262","0.00%","3","3.86","1.28","146","109","37"
"75","1100042","playerP","江柄子 裕樹","巨人","2016","0.333","0.571","1.000","0.000","---","---","0.000","0.250","1.000","---","---","0.000","0.000","1.000","---","---","---","0.000","0.000","0.000","---","0.200","1.000","0.667","1.000","0","0","1","0","4","2","8+2/3","4.15","196","47","14","0","7","0","0","8","7","0","0","0",".359","0.00%","3","3.00","2.42","143","104","39"
