"id","year","league","team","防御率","先発防御率","救援防御率","勝","負","セーブ","奪三振","試合数","投球回","奪三振率","投球数","打者数","被安打","被本塁打","与四球","与死球","敬遠","失点","自責点","完投","完封","無四球","被打率","QS率","援護点","援護率","WHIP","UC打数","UC被安打","UC被打率","UC被本塁打","HP"
"122","2021","パ","ロ","3.67","3.95","3.22","67","57","41","953","143","1264","6.79","20,547","5,340","1,191","147","396","34","21","570","516","5","2","3",".244","44.76%","387","4.12","1.26","2,143","523",".244","61","115"
"123","2021","パ","楽","3.40","3.75","2.75","66","62","36","1,098","143","1260","7.84","20,676","5,232","1,146","115","373","32","10","507","476","5","3","2",".238","50.35%","379","3.91","1.21","2,232","536",".240","59","93"
"124","2021","パ","ソ","3.25","3.36","3.07","60","62","28","1,199","143","1255 1/3","8.60","21,274","5,227","1,021","121","493","65","9","493","454","2","1","0",".219","50.35%","400","4.14","1.21","1,942","461",".237","52","98"
"125","2021","パ","日","3.32","3.42","3.14","55","68","31","1,061","143","1255 2/3","7.60","21,026","5,257","1,097","98","424","62","22","515","463","3","2","1",".231","51.05%","325","3.41","1.21","2,238","505",".226","45","111"
"126","2021","パ","西","3.94","4.16","3.59","55","70","32","947","143","1250 2/3","6.81","21,803","5,434","1,171","117","588","65","9","589","548","4","2","0",".245","37.76%","356","3.84","1.41","2,029","519",".256","50","100"
"127","2023","パ","オ","2.73","2.61","2.93","86","53","46","1,155","143","1290","8.06","20,811","5,339","1,097","73","398","54","7","428","391","5","4","2",".225","53.15%","345","3.59","1.16","2,421","527",".218","29","117"
"128","2023","パ","ロ","3.40","3.43","3.35","70","68","45","1,102","143","1283","7.73","20,826","5,366","1,194","101","397","46","15","524","485","1","0","0",".243","49.65%","346","3.58","1.24","2,313","569",".246","48","134"
"129","2023","パ","ソ","3.27","3.63","2.68","71","69","32","1,068","143","1279 2/3","7.51","20,947","5,361","1,121","111","438","61","14","507","465","4","3","0",".231","38.46%","340","3.66","1.22","2,186","524",".240","55","127"
"130","2023","パ","楽","3.52","3.66","3.27","70","71","42","921","143","1268 2/3","6.53","20,725","5,409","1,206","101","428","38","13","556","496","1","1","0",".245","46.15%","323","3.39","1.29","2,263","560",".247","46","121"
"131","2023","パ","西","2.94","3.00","2.81","65","77","35","1,010","143","1270","7.16","21,015","5,310","1,056","95","499","59","12","465","415","10","5","2",".223","60.14%","317","3.10","1.22","2,260","512",".227","44","98"
"132","2023","パ","日","3.08","3.14","2.95","60","82","29","942","143","1268 2/3","6.68","20,202","5,309","1,189","106","352","48","13","496","434","8","4","5",".243","51.05%","353","3.59","1.21","2,244","558",".249","47","99"
